Group 1,Group 2,H,p-value,q-value
Kwashiorkor (n=15),Marasmus (n=13),1.1718832891246507,0.27901461298400004,0.4185219194760001
Kwashiorkor (n=15),Non-malnourished (n=14),0.32190476190476147,0.5704651951316555,0.5704651951316555
Marasmus (n=13),Non-malnourished (n=14),2.262951334379906,0.13250132948726256,0.3975039884617877
