Group 1,Group 2,H,p-value,q-value
02/01/2019 (n=1),02/05/2019 (n=2),1.5,0.22067136191984324,0.33544253688364895
02/01/2019 (n=1),02/10/2018 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),02/10/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),03/10/2018 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),03/10/2019 (n=2),1.5,0.22067136191984324,0.33544253688364895
02/01/2019 (n=1),06/06/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),07/10/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),07/11/2018 (n=2),1.5,0.22067136191984324,0.33544253688364895
02/01/2019 (n=1),08/08/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),08/10/2018 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),09/10/2018 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),11/09/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),13/11/2018 (n=2),1.5,0.22067136191984324,0.33544253688364895
02/01/2019 (n=1),14/03/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),15/07/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),15/11/2018 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),16/07/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),16/11/2018 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),17/10/2018 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),18/04/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),18/07/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),19/04/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),19/11/2018 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),21/01/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
02/01/2019 (n=1),21/02/2019 (n=1),1.0,0.31731050786291115,0.33544253688364895
