#OTU ID	1	10	11	12	13	14	15	16	17	18	19	2	20	22	23	24	25	26	27	28	29	3	30	31	32	33	34	35	36	37	38	39	4	40	41	42	43	5	6	7	8	9
ARO-PWY	3197.8741	3866.1346	11048.1419	2704.7911	6288.6289	4322.9543	3790.3055	6048.2402	6087.2139	2867.634	3348.2765	6167.9989	3711.9348	3414.4232	4089.8199	4342.5305	3160.5969	4382.8148	6064.3936	3401.0296	3304.9505	2882.6221	2908.0855	6274.9815	7332.8941	6377.2136	5084.7742	4639.5641	4223.9336	4034.9033	5950.1397	1412.9294	4351.2354	4467.5418	4019.4192	2286.9119	4553.8923	6308.7101	4035.2109	3760.8405	11710.393	4672.5706
ASPASN-PWY	2787.3791	2083.1566	8935.3851	1921.3674	5222.1402	2314.4082	2160.0722	4733.0209	4983.9613	2207.592	2594.9617	5190.6478	3119.4861	2856.5783	3361.8724	2991.3787	2838.834	3770.1793	5535.4814	2888.7161	2100.6625	2448.1196	3138.6861	5041.1832	5159.4273	5743.6211	4071.213	4057.7974	3986.9324	3969.0072	4978.9074	1415.2126	3777.9858	3251.3109	3607.1031	1811.6615	2691.9708	4607.8806	2978.9658	3032.6014	11535.9436	4048.9124
AST-PWY	1924.83	585.98	4474.5426	216.66	71.97	215.504	37.67	420.0	399.13	137.42	439.331	109.84	20.0	820.84	367.9238	24.0	1527.99	1209.2587	736.11	913.4343	733.8323	824.8785	188.32	19.33	1996.66	38.33	552.4499	713.55	202.82	540.67	0.0	471.5	101.34	42.34	3.33	482.5777	1124.8976	4.67	16.0	227.0	7746.7834	3384.449
BIOTIN-BIOSYNTHESIS-PWY	2919.3822	1304.5285	7943.8314	804.5645	2013.4016	760.6858	145.89	2979.3149	1419.7879	1661.5563	1890.9284	1471.7633	1343.0511	1622.7988	2735.3555	1052.7307	2474.5711	3611.4579	2991.3789	2327.5315	2372.3218	2019.8317	1192.8712	1946.4333	3897.1764	2630.0386	2084.216	2175.607	2188.0724	3251.4218	2417.854	849.3108	1875.9034	1126.2606	1308.7487	1138.653	1956.2074	1602.1931	873.3685	1555.8062	12454.1197	4411.2893
BRANCHED-CHAIN-AA-SYN-PWY	3276.1724	3848.7658	10840.0374	2817.9565	5749.5363	4878.9145	3763.9123	6050.5635	6209.1059	2576.8945	3117.7622	6214.6755	3662.3389	3779.0108	3705.0789	4004.6892	2863.9447	3975.1297	6022.3953	3090.5678	2700.2745	2856.882	2850.6091	5971.0773	7119.174	6182.5093	4788.2894	4738.4319	4514.4377	4014.3095	5830.7945	1197.1964	4243.4479	4185.0921	3957.8038	1972.6126	3918.418	6689.9898	4002.7126	3646.4345	11339.1595	4560.1302
CALVIN-PWY	4383.7335	3775.7744	12865.7576	2510.0225	6926.1939	3756.8892	2755.7605	6706.9345	7210.4168	3014.4569	3928.1011	7109.4728	4438.1291	3558.9204	4737.045	4563.0298	4287.3889	5469.2592	7686.3706	4145.5416	5487.1589	3634.0969	4043.2391	6715.5485	8631.1999	7680.4013	6195.4214	5919.7364	5503.4296	5222.575	7023.7994	2107.2897	5100.4604	4957.5318	4535.8301	2864.7356	5106.6039	6334.9885	4553.7311	4581.715	14556.8156	5833.2601
CATECHOL-ORTHO-CLEAVAGE-PWY	0.0	0.0	62.62	0.0	0.0	44.52	0.0	0.0	0.0	9.71	46.2328	18.4366	0.0	0.0	105.3275	0.0	0.0	101.1451	0.0	172.51	56.9671	115.12	0.0	0.0	1.0	0.0	118.9172	6.86	0.0	0.0	0.0	55.0	0.0	0.0	0.0	104.26	132.39	0.0	0.0	0.0	186.0404	76.9962
CENTFERM-PWY	0.0	0.0	114.5062	26.2217	735.7594	0.0	0.0	996.7129	543.4869	432.1212	624.7914	872.7361	201.0894	19.9441	884.3997	208.598	0.0	1227.3817	1883.5248	336.9156	35.0316	331.3629	344.8953	248.7446	0.0	559.5057	665.8767	890.6204	992.3014	681.1101	1051.283	0.0	552.2301	288.9178	147.8936	327.0705	4.1958	31.6431	116.6865	854.4304	192.9474	52.2319
CHLOROPHYLL-SYN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.1867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0756	0.0
COA-PWY	2987.2021	3321.2656	9511.7561	2308.3823	5687.7408	3152.2627	3557.3734	5327.2689	5566.2859	2776.1323	3212.054	5650.78	3565.92	2584.1035	4003.5281	3866.7829	3054.1513	4070.1224	5704.5897	3209.3767	4993.74	2588.9294	3818.0069	5705.3249	6028.3602	6100.1235	5020.8374	4337.2956	4395.0678	4165.8119	5600.6511	1899.31	4040.5495	4095.7978	3934.6223	2031.9961	4475.56	6483.0333	3620.7208	3667.3657	9612.6075	3882.791
