Group 1,Group 2,H,p-value,q-value
Jaune (n=24),Rouge (n=3),2.8809523809523796,0.08963299426788943,0.13444949140183415
Jaune (n=24),Vert (n=15),2.000833333333347,0.15721275333999835,0.15721275333999835
Rouge (n=3),Vert (n=15),5.898245614035083,0.015155973880974631,0.045467921642923896
