Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Kwashiorkor	Kwashiorkor	Kwashiorkor	Kwashiorkor	Kwashiorkor	Marasmus	Marasmus	Marasmus	Marasmus	Marasmus	Non-malnourished	Non-malnourished	Non-malnourished	Non-malnourished	Non-malnourished
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	979.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	1.0	1.0	3.0	21.0	103.0	1.0	1.0	1.0	9.0	29.0	1.0	1.0	1.0	3.25	41.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__	1.0	1.0	1.0	1.0	22.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	21.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	26.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	1.0	1.0	1.0	24.5	59.0	1.0	1.0	1.0	7.0	15.0	1.0	1.0	1.0	4.75	42.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	1.0	1.0	1.0	34.0	323.0	1.0	1.0	1.0	1.0	113.0	1.0	1.0	1.0	7.25	111.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	1.0	21.0	117.0	179.0	1448.0	1.0	268.0	458.0	1070.0	6578.0	1.0	52.5	167.0	416.25	2105.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	1.0	1.0	1.0	70.0	1575.0	1.0	1.0	19.0	122.0	621.0	1.0	1.0	20.5	110.25	1557.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	1.0	159.5	319.0	449.5	712.0	3.0	95.0	168.0	645.0	1778.0	1.0	84.0	257.0	543.25	1590.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__	1.0	1.0	1.0	7.5	218.0	1.0	1.0	1.0	5.0	211.0	1.0	2.75	42.5	101.75	220.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	1.0	1.0	1.0	4.0	154.0	1.0	1.0	1.0	16.0	33.0	1.0	1.0	9.0	38.25	146.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	18.0	1.0	1.0	1.0	14.5	42.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	1.0	1.0	1.0	14.0	104.0	1.0	1.0	1.0	7.0	62.0	1.0	1.0	1.0	61.5	116.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	1.0	75.5	130.0	390.5	1841.0	1.0	1.0	286.0	928.0	1549.0	1.0	52.75	897.0	1243.75	2062.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	26.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	1.0	1.0	1.0	4.5	220.0	1.0	1.0	1.0	1.0	30.0	1.0	1.0	1.0	7.0	84.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	1.0	83.5	216.0	442.0	3826.0	1.0	1.0	167.0	491.0	1934.0	1.0	117.25	686.0	1006.0	1601.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	1.0	303.5	596.0	803.0	1876.0	1.0	94.0	477.0	563.0	1236.0	1.0	258.0	447.5	611.75	742.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	1.0	1.0	1.0	3.5	24.0	1.0	1.0	1.0	1.0	64.0	1.0	1.0	5.0	25.25	54.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	1.0	1.0	1.0	7.5	62.0	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	2.5	24.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	1.0	6.5	41.0	147.0	260.0	1.0	1.0	1.0	129.0	245.0	1.0	2.75	55.0	239.25	445.0
